Cultivo;Campaña;Provincia;Departamento;"Sup. Sembrada";"Sup. Cosechada";Producción;Rendimiento
Algodon;1999/00;CATAMARCA;AMBATO;0;0;0;0
Algodon;1999/00;CATAMARCA;ANCASTI;0;0;0;0
Algodon;1999/00;CATAMARCA;ANDALGALA;0;0;0;0
Algodon;1999/00;CATAMARCA;"ANTOFAGASTA DE LA SIERRA";0;0;0;0
Algodon;1999/00;CATAMARCA;BELEN;0;0;0;0
Algodon;1980/81;CATAMARCA;CAPAYAN;150;135;180;1.333
Algodon;1981/82;CATAMARCA;CAPAYAN;180;180;270;1.500
Algodon;1982/83;CATAMARCA;CAPAYAN;290;290;330;1.138
Algodon;1983/84;CATAMARCA;CAPAYAN;660;660;1.148;1.739
Algodon;1984/85;CATAMARCA;CAPAYAN;350;350;620;1.771
Algodon;1985/86;CATAMARCA;CAPAYAN;320;320;448;1.400
Algodon;1986/87;CATAMARCA;CAPAYAN;345;345;1.210;3.507
Algodon;1987/88;CATAMARCA;CAPAYAN;450;450;1.350;3.000
Algodon;1988/89;CATAMARCA;CAPAYAN;570;490;1.295;2.643
Algodon;1991/92;CATAMARCA;CAPAYAN;300;300;1.350;4.500
Algodon;1992/93;CATAMARCA;CAPAYAN;400;400;520;1.300
Algodon;1993/94;CATAMARCA;CAPAYAN;350;350;900;2.571
Algodon;1994/95;CATAMARCA;CAPAYAN;500;500;1.400;2.800
Algodon;1995/96;CATAMARCA;CAPAYAN;400;400;800;2.000
Algodon;1996/97;CATAMARCA;CAPAYAN;1.000;1.000;2.500;2.500
Algodon;1997/98;CATAMARCA;CAPAYAN;3.300;3.300;9.900;3.000
Algodon;1998/99;CATAMARCA;CAPAYAN;3.000;3.000;7.500;2.500
Algodon;1999/00;CATAMARCA;CAPAYAN;800;700;2.030;2.900
Algodon;1983/84;CATAMARCA;CAPITAL;20;20;32;1.600
Algodon;1999/00;CATAMARCA;CAPITAL;0;0;0;0
Algodon;1992/93;CATAMARCA;"EL ALTO";500;500;650;1.300
Algodon;1993/94;CATAMARCA;"EL ALTO";450;450;1.100;2.444
Algodon;1994/95;CATAMARCA;"EL ALTO";100;100;240;2.400
Algodon;1995/96;CATAMARCA;"EL ALTO";500;500;1.000;2.000
Algodon;1996/97;CATAMARCA;"EL ALTO";500;500;1.250;2.500
Algodon;1999/00;CATAMARCA;"EL ALTO";0;0;0;0
Algodon;1981/82;CATAMARCA;"FRAY MAMERTO ESQUIU";20;20;35;1.750
Algodon;1982/83;CATAMARCA;"FRAY MAMERTO ESQUIU";35;35;40;1.143
Algodon;1983/84;CATAMARCA;"FRAY MAMERTO ESQUIU";150;150;270;1.800
Algodon;1984/85;CATAMARCA;"FRAY MAMERTO ESQUIU";70;70;130;1.857
Algodon;1985/86;CATAMARCA;"FRAY MAMERTO ESQUIU";80;80;112;1.400
Algodon;1986/87;CATAMARCA;"FRAY MAMERTO ESQUIU";80;80;280;3.500
Algodon;1987/88;CATAMARCA;"FRAY MAMERTO ESQUIU";150;150;450;3.000
Algodon;1988/89;CATAMARCA;"FRAY MAMERTO ESQUIU";215;195;535;2.744
Algodon;1999/00;CATAMARCA;"FRAY MAMERTO ESQUIU";0;0;0;0
Algodon;1999/00;CATAMARCA;"LA PAZ";0;0;0;0
Algodon;1999/00;CATAMARCA;PACLIN;0;0;0;0
Algodon;1999/00;CATAMARCA;POMAN;0;0;0;0
Algodon;1999/00;CATAMARCA;"SANTA MARIA";0;0;0;0
Algodon;1992/93;CATAMARCA;"SANTA ROSA";950;950;1.230;1.295
Algodon;1993/94;CATAMARCA;"SANTA ROSA";1.100;1.100;2.800;2.545
Algodon;1994/95;CATAMARCA;"SANTA ROSA";1.100;1.100;2.640;2.400
Algodon;1995/96;CATAMARCA;"SANTA ROSA";1.400;1.400;2.800;2.000
Algodon;1996/97;CATAMARCA;"SANTA ROSA";1.000;1.000;2.500;2.500
Algodon;1997/98;CATAMARCA;"SANTA ROSA";200;200;600;3.000
Algodon;1999/00;CATAMARCA;"SANTA ROSA";0;0;0;0
Algodon;1980/81;CATAMARCA;TINOGASTA;17;15;20;1.333
Algodon;1999/00;CATAMARCA;TINOGASTA;0;0;0;0
Algodon;1991/92;CATAMARCA;"VALLE VIEJO";700;700;2.275;3.250
Algodon;1999/00;CATAMARCA;"VALLE VIEJO";700;650;1.885;2.900
Algodon;2000/01;CATAMARCA;"VALLE VIEJO";350;350;875;2.500
Algodon;2001/02;CATAMARCA;"VALLE VIEJO";230;230;700;3.043
Algodon;2002/03;CATAMARCA;"VALLE VIEJO";400;310;1.085;3.500
Algodon;2003/04;CATAMARCA;"VALLE VIEJO";400;350;1.050;3.000
Algodon;2004/05;CATAMARCA;"VALLE VIEJO";500;500;1.750;3.500
Algodon;2009/10;CATAMARCA;"VALLE VIEJO";500;500;1.600;3.200
Algodon;2010/11;CATAMARCA;"VALLE VIEJO";500;500;1.500;3.000
Algodon;2011/12;CATAMARCA;"VALLE VIEJO";60;60;110;1.833
Algodon;1980/81;CHACO;"1 DE MAYO";800;750;650;867
Algodon;1981/82;CHACO;"1 DE MAYO";650;650;750;1.154
Algodon;1982/83;CHACO;"1 DE MAYO";700;550;380;691
Algodon;1983/84;CHACO;"1 DE MAYO";800;800;1.160;1.450
Algodon;1984/85;CHACO;"1 DE MAYO";750;750;780;1.040
Algodon;1985/86;CHACO;"1 DE MAYO";2.000;2.000;1.600;800
Algodon;1986/87;CHACO;"1 DE MAYO";1.500;1.500;1.770;1.180
