Cultivo;Campaña;Provincia;Departamento;"Sup. Sembrada";"Sup. Cosechada";Producción;Rendimiento
Girasol;1980/81;"BUENOS AIRES";"25 DE MAYO";15.000;14.500;13.050;900
Girasol;1981/82;"BUENOS AIRES";"25 DE MAYO";13.200;13.200;20.400;1.545
Girasol;1982/83;"BUENOS AIRES";"25 DE MAYO";18.000;18.000;27.000;1.500
Girasol;1983/84;"BUENOS AIRES";"25 DE MAYO";21.000;21.000;23.100;1.100
Girasol;1984/85;"BUENOS AIRES";"25 DE MAYO";22.000;22.000;26.000;1.182
Girasol;1985/86;"BUENOS AIRES";"25 DE MAYO";27.500;27.500;46.800;1.702
Girasol;1986/87;"BUENOS AIRES";"25 DE MAYO";14.000;14.000;18.200;1.300
Girasol;1987/88;"BUENOS AIRES";"25 DE MAYO";30.000;30.000;36.000;1.200
Girasol;1988/89;"BUENOS AIRES";"25 DE MAYO";20.000;19.600;27.500;1.403
Girasol;1989/90;"BUENOS AIRES";"25 DE MAYO";27.500;27.500;44.000;1.600
Girasol;1990/91;"BUENOS AIRES";"25 DE MAYO";26.000;26.000;44.200;1.700
Girasol;1991/92;"BUENOS AIRES";"25 DE MAYO";27.500;25.500;33.200;1.302
Girasol;1992/93;"BUENOS AIRES";"25 DE MAYO";24.700;24.000;36.000;1.500
Girasol;1993/94;"BUENOS AIRES";"25 DE MAYO";15.200;15.200;27.400;1.803
Girasol;1994/95;"BUENOS AIRES";"25 DE MAYO";30.000;30.000;58.500;1.950
Girasol;1995/96;"BUENOS AIRES";"25 DE MAYO";28.750;28.750;66.100;2.299
Girasol;1996/97;"BUENOS AIRES";"25 DE MAYO";28.800;28.800;63.400;2.201
Girasol;1997/98;"BUENOS AIRES";"25 DE MAYO";31.700;29.700;50.500;1.700
Girasol;1998/99;"BUENOS AIRES";"25 DE MAYO";41.200;41.200;78.300;1.900
Girasol;1999/00;"BUENOS AIRES";"25 DE MAYO";23.300;23.300;44.300;1.901
Girasol;2000/01;"BUENOS AIRES";"25 DE MAYO";4.660;4.660;9.320;2.000
Girasol;2001/02;"BUENOS AIRES";"25 DE MAYO";3.500;3.350;6.365;1.900
Girasol;2002/03;"BUENOS AIRES";"25 DE MAYO";2.400;2.400;6.200;2.583
Girasol;2003/04;"BUENOS AIRES";"25 DE MAYO";2.000;1.910;4.900;2.565
Girasol;2004/05;"BUENOS AIRES";"25 DE MAYO";2.200;2.110;6.380;3.024
Girasol;2005/06;"BUENOS AIRES";"25 DE MAYO";3.600;3.520;9.504;2.700
Girasol;2006/07;"BUENOS AIRES";"25 DE MAYO";1.600;1.600;4.160;2.600
Girasol;2007/08;"BUENOS AIRES";"25 DE MAYO";2.000;2.000;5.200;2.600
Girasol;2008/09;"BUENOS AIRES";"25 DE MAYO";2.600;2.600;6.500;2.500
Girasol;2009/10;"BUENOS AIRES";"25 DE MAYO";4.000;4.000;10.800;2.700
Girasol;2010/11;"BUENOS AIRES";"25 DE MAYO";4.500;4.500;14.850;3.300
Girasol;2011/12;"BUENOS AIRES";"25 DE MAYO";8.000;8.000;19.200;2.400
Girasol;2012/13;"BUENOS AIRES";"25 DE MAYO";3.800;3.800;9.120;2.400
