Cultivo;Campaña;Provincia;Departamento;"Sup. Sembrada";"Sup. Cosechada";Producción;Rendimiento
Maiz;1980/81;"BUENOS AIRES";"25 DE MAYO";38.000;34.000;132.500;3.897
Maiz;1981/82;"BUENOS AIRES";"25 DE MAYO";40.000;39.500;142.200;3.600
Maiz;1982/83;"BUENOS AIRES";"25 DE MAYO";41.000;39.500;152.100;3.851
Maiz;1983/84;"BUENOS AIRES";"25 DE MAYO";25.000;23.500;84.600;3.600
Maiz;1984/85;"BUENOS AIRES";"25 DE MAYO";30.000;29.000;130.500;4.500
Maiz;1985/86;"BUENOS AIRES";"25 DE MAYO";25.000;24.900;89.620;3.599
Maiz;1986/87;"BUENOS AIRES";"25 DE MAYO";14.000;14.000;50.400;3.600
Maiz;1987/88;"BUENOS AIRES";"25 DE MAYO";15.000;13.000;54.600;4.200
Maiz;1988/89;"BUENOS AIRES";"25 DE MAYO";15.000;13.200;43.000;3.258
Maiz;1989/90;"BUENOS AIRES";"25 DE MAYO";15.000;14.000;55.000;3.929
Maiz;1990/91;"BUENOS AIRES";"25 DE MAYO";22.200;22.200;115.400;5.198
Maiz;1991/92;"BUENOS AIRES";"25 DE MAYO";26.600;26.100;138.300;5.299
Maiz;1992/93;"BUENOS AIRES";"25 DE MAYO";29.000;24.700;113.600;4.599
Maiz;1993/94;"BUENOS AIRES";"25 DE MAYO";11.600;11.600;52.200;4.500
Maiz;1994/95;"BUENOS AIRES";"25 DE MAYO";20.000;20.000;104.000;5.200
Maiz;1995/96;"BUENOS AIRES";"25 DE MAYO";24.000;24.000;110.400;4.600
Maiz;1996/97;"BUENOS AIRES";"25 DE MAYO";30.200;30.200;175.200;5.801
Maiz;1997/98;"BUENOS AIRES";"25 DE MAYO";24.200;24.200;188.800;7.802
Maiz;1998/99;"BUENOS AIRES";"25 DE MAYO";19.000;19.000;112.100;5.900
Maiz;1999/00;"BUENOS AIRES";"25 DE MAYO";24.600;24.600;123.000;5.000
Maiz;2000/01;"BUENOS AIRES";"25 DE MAYO";15.000;13.000;100.100;7.700
Maiz;2001/02;"BUENOS AIRES";"25 DE MAYO";6.763;6.763;37.200;5.501
Maiz;2002/03;"BUENOS AIRES";"25 DE MAYO";7.200;6.545;50.400;7.701
Maiz;2003/04;"BUENOS AIRES";"25 DE MAYO";8.300;7.300;57.670;7.900
Maiz;2004/05;"BUENOS AIRES";"25 DE MAYO";10.600;10.100;91.910;9.100
Maiz;2005/06;"BUENOS AIRES";"25 DE MAYO";11.600;10.610;81.700;7.700
Maiz;2006/07;"BUENOS AIRES";"25 DE MAYO";18.000;17.550;173.750;9.900
Maiz;2007/08;"BUENOS AIRES";"25 DE MAYO";21.000;20.250;159.980;7.900
Maiz;2008/09;"BUENOS AIRES";"25 DE MAYO";22.000;15.300;76.500;5.000
Maiz;2009/10;"BUENOS AIRES";"25 DE MAYO";2.000;2.000;17.000;8.500
Maiz;2010/11;"BUENOS AIRES";"25 DE MAYO";35.000;33.000;239.090;7.245
Maiz;2011/12;"BUENOS AIRES";"25 DE MAYO";38.500;34.400;189.200;5.500
Maiz;2012/13;"BUENOS AIRES";"25 DE MAYO";25.800;24.300;218.700;9.000
Maiz;2013/14;"BUENOS AIRES";"25 DE MAYO";32.000;25.500;188.700;7.400
Maiz;2014/15;"BUENOS AIRES";"25 DE MAYO";30.000;24.000;213.600;8.900
Maiz;2015/16;"BUENOS AIRES";"25 DE MAYO";42.700;37.340;324.858;8.700
Maiz;2016/17;"BUENOS AIRES";"25 DE MAYO";50.000;43.000;382.700;8.900
Maiz;1980/81;"BUENOS AIRES";"9 DE JULIO";40.000;37.600;182.240;4.847
Maiz;1981/82;"BUENOS AIRES";"9 DE JULIO";30.000;27.900;127.600;4.573
Maiz;1982/83;"BUENOS AIRES";"9 DE JULIO";36.000;34.000;105.600;3.106
Maiz;1983/84;"BUENOS AIRES";"9 DE JULIO";35.000;35.000;133.000;3.800
Maiz;1984/85;"BUENOS AIRES";"9 DE JULIO";35.000;35.000;130.000;3.714
Maiz;1985/86;"BUENOS AIRES";"9 DE JULIO";30.000;30.000;135.300;4.510
Maiz;1986/87;"BUENOS AIRES";"9 DE JULIO";29.000;26.000;112.000;4.308
Maiz;1987/88;"BUENOS AIRES";"9 DE JULIO";20.000;20.000;84.000;4.200
Maiz;1988/89;"BUENOS AIRES";"9 DE JULIO";23.000;22.000;84.000;3.818
Maiz;1989/90;"BUENOS AIRES";"9 DE JULIO";14.000;14.000;63.000;4.500
Maiz;1990/91;"BUENOS AIRES";"9 DE JULIO";22.000;21.800;104.600;4.798
Maiz;1991/92;"BUENOS AIRES";"9 DE JULIO";26.000;26.000;156.000;6.000
Maiz;1992/93;"BUENOS AIRES";"9 DE JULIO";37.000;33.500;174.200;5.200
Maiz;1993/94;"BUENOS AIRES";"9 DE JULIO";33.000;32.800;141.000;4.299
Maiz;1994/95;"BUENOS AIRES";"9 DE JULIO";35.000;34.300;205.800;6.000
Maiz;1995/96;"BUENOS AIRES";"9 DE JULIO";38.000;37.200;234.400;6.301
Maiz;1996/97;"BUENOS AIRES";"9 DE JULIO";51.000;50.800;360.700;7.100
Maiz;1997/98;"BUENOS AIRES";"9 DE JULIO";50.000;43.000;335.400;7.800
Maiz;1998/99;"BUENOS AIRES";"9 DE JULIO";40.000;39.800;274.600;6.900
Maiz;1999/00;"BUENOS AIRES";"9 DE JULIO";42.000;41.000;287.000;7.000
Maiz;2000/01;"BUENOS AIRES";"9 DE JULIO";46.000;35.000;210.000;6.000
Maiz;2001/02;"BUENOS AIRES";"9 DE JULIO";12.000;11.200;82.320;7.350
Maiz;2002/03;"BUENOS AIRES";"9 DE JULIO";15.000;14.050;112.400;8.000
Maiz;2003/04;"BUENOS AIRES";"9 DE JULIO";13.000;12.200;95.160;7.800
Maiz;2004/05;"BUENOS AIRES";"9 DE JULIO";20.000;18.000;162.000;9.000
Maiz;2005/06;"BUENOS AIRES";"9 DE JULIO";16.000;13.500;101.250;7.500
Maiz;2006/07;"BUENOS AIRES";"9 DE JULIO";16.000;13.500;128.250;9.500
Maiz;2007/08;"BUENOS AIRES";"9 DE JULIO";19.000;16.400;121.360;7.400
Maiz;2008/09;"BUENOS AIRES";"9 DE JULIO";15.200;11.600;58.000;5.000
Maiz;2009/10;"BUENOS AIRES";"9 DE JULIO";46.500;43.700;393.300;9.000
Maiz;2010/11;"BUENOS AIRES";"9 DE JULIO";47.000;39.950;277.040;6.935
Maiz;2011/12;"BUENOS AIRES";"9 DE JULIO";46.000;43.700;275.310;6.300
Maiz;2012/13;"BUENOS AIRES";"9 DE JULIO";38.000;36.100;306.850;8.500
Maiz;2013/14;"BUENOS AIRES";"9 DE JULIO";41.300;32.300;251.940;7.800
Maiz;2014/15;"BUENOS AIRES";"9 DE JULIO";38.000;31.800;286.200;9.000
Maiz;2015/16;"BUENOS AIRES";"9 DE JULIO";34.590;21.910;227.864;10.400
Maiz;2016/17;"BUENOS AIRES";"9 DE JULIO";73.000;45.200;429.400;9.500
Maiz;1980/81;"BUENOS AIRES";"ADOLFO ALSINA";15.000;7.000;16.800;2.400
Maiz;1981/82;"BUENOS AIRES";"ADOLFO ALSINA";10.000;7.000;14.450;2.064
Maiz;1982/83;"BUENOS AIRES";"ADOLFO ALSINA";14.000;8.000;20.000;2.500
Maiz;1983/84;"BUENOS AIRES";"ADOLFO ALSINA";10.000;5.000;15.000;3.000
Maiz;1984/85;"BUENOS AIRES";"ADOLFO ALSINA";8.000;5.000;15.000;3.000
Maiz;1985/86;"BUENOS AIRES";"ADOLFO ALSINA";10.000;5.000;14.500;2.900
Maiz;1986/87;"BUENOS AIRES";"ADOLFO ALSINA";15.000;11.000;26.400;2.400
Maiz;1987/88;"BUENOS AIRES";"ADOLFO ALSINA";10.000;7.000;25.200;3.600
Maiz;1988/89;"BUENOS AIRES";"ADOLFO ALSINA";11.000;5.000;15.000;3.000
Maiz;1989/90;"BUENOS AIRES";"ADOLFO ALSINA";11.000;10.700;25.000;2.336
Maiz;1990/91;"BUENOS AIRES";"ADOLFO ALSINA";7.500;7.500;30.000;4.000
Maiz;1991/92;"BUENOS AIRES";"ADOLFO ALSINA";10.000;10.000;38.000;3.800
