Cultivo;Campagna;Provincia;Departamento;"Sup. Sembrada";"Sup. Cosechada";Produccion;Rendimiento
Trigo;1980/81;"BUENOS AIRES";"25 DE MAYO";13.000;12.470;22.452;1.800
Trigo;1981/82;"BUENOS AIRES";"25 DE MAYO";25.000;24.300;40.000;1.646
Trigo;1982/83;"BUENOS AIRES";"25 DE MAYO";26.000;26.000;41.600;1.600
Trigo;1983/84;"BUENOS AIRES";"25 DE MAYO";30.000;30.000;60.000;2.000
Trigo;1984/85;"BUENOS AIRES";"25 DE MAYO";28.000;28.000;56.000;2.000
Trigo;1985/86;"BUENOS AIRES";"25 DE MAYO";30.000;25.000;30.000;1.200
Trigo;1986/87;"BUENOS AIRES";"25 DE MAYO";22.400;22.400;40.000;1.786
Trigo;1987/88;"BUENOS AIRES";"25 DE MAYO";10.800;10.800;18.550;1.718
Trigo;1988/89;"BUENOS AIRES";"25 DE MAYO";28.000;28.000;55.000;1.964
Trigo;1989/90;"BUENOS AIRES";"25 DE MAYO";32.000;32.000;60.100;1.878
Trigo;1990/91;"BUENOS AIRES";"25 DE MAYO";38.400;38.400;84.500;2.201
Trigo;1991/92;"BUENOS AIRES";"25 DE MAYO";21.000;21.000;48.300;2.300
Trigo;1992/93;"BUENOS AIRES";"25 DE MAYO";16.800;16.800;43.700;2.601
Trigo;1993/94;"BUENOS AIRES";"25 DE MAYO";14.000;14.000;28.000;2.000
Trigo;1994/95;"BUENOS AIRES";"25 DE MAYO";40.000;40.000;124.000;3.100
Trigo;1995/96;"BUENOS AIRES";"25 DE MAYO";37.500;37.500;108.800;2.901
Trigo;1996/97;"BUENOS AIRES";"25 DE MAYO";56.600;56.600;226.400;4.000
Trigo;1997/98;"BUENOS AIRES";"25 DE MAYO";35.100;35.100;115.800;3.299
Trigo;1998/99;"BUENOS AIRES";"25 DE MAYO";32.600;32.600;121.000;3.712
Trigo;1999/00;"BUENOS AIRES";"25 DE MAYO";37.500;37.500;124.000;3.307
Trigo;2000/01;"BUENOS AIRES";"25 DE MAYO";32.000;30.800;89.000;2.890
Trigo;2001/02;"BUENOS AIRES";"25 DE MAYO";16.000;13.600;23.200;1.706
Trigo;2002/03;"BUENOS AIRES";"25 DE MAYO";12.000;11.830;23.660;2.000
Trigo;2003/04;"BUENOS AIRES";"25 DE MAYO";13.680;12.480;48.670;3.900
Trigo;2004/05;"BUENOS AIRES";"25 DE MAYO";16.500;16.350;67.040;4.100
Trigo;2005/06;"BUENOS AIRES";"25 DE MAYO";17.800;17.800;80.100;4.500
Trigo;2006/07;"BUENOS AIRES";"25 DE MAYO";23.000;23.000;103.500;4.500
Trigo;2007/08;"BUENOS AIRES";"25 DE MAYO";26.000;25.150;90.540;3.600
Trigo;2008/09;"BUENOS AIRES";"25 DE MAYO";22.000;22.000;79.200;3.600
Trigo;2009/10;"BUENOS AIRES";"25 DE MAYO";15.320;15.320;11.280;736
Trigo;2010/11;"BUENOS AIRES";"25 DE MAYO";19.000;19.000;86.330;4.544
Trigo;2011/12;"BUENOS AIRES";"25 DE MAYO";21.000;21.000;98.700;4.700
Trigo;2012/13;"BUENOS AIRES";"25 DE MAYO";15.000;12.000;33.600;2.800
Trigo;2013/14;"BUENOS AIRES";"25 DE MAYO";11.000;11.000;42.900;3.900
Trigo;2014/15;"BUENOS AIRES";"25 DE MAYO";26.160;25.910;95.870;3.700
Trigo;2015/16;"BUENOS AIRES";"25 DE MAYO";14.100;6.200;18.600;3.000
